Creativity,Group
80.79148607620954,Fancy Hat
126.65754207337943,Fancy Hat
88.64883281373596,Fancy Hat
89.19992128662038,Fancy Hat
73.03536854602986,Fancy Hat
98.91555933626155,Fancy Hat
98.26976932798324,Fancy Hat
93.57617145223693,Fancy Hat
101.40304172691859,Fancy Hat
109.42022203303532,Fancy Hat
91.33420626778832,Fancy Hat
83.59176553579574,Fancy Hat
91.30650237910857,Fancy Hat
103.17927637847947,Fancy Hat
100.71375643266748,Fancy Hat
92.44803618282036,Fancy Hat
120.83318734413504,Fancy Hat
108.10768406273782,Fancy Hat
110.60452258388749,Fancy Hat
98.60042276377884,Fancy Hat
106.3546212306441,Fancy Hat
133.10802185418154,Fancy Hat
118.17968677100717,Fancy Hat
98.46311132247602,Fancy Hat
87.62132741479509,Fancy Hat
98.98922755008577,Fancy Hat
100.01341508327856,Fancy Hat
104.96683893136563,Fancy Hat
105.18699843315551,Fancy Hat
108.43097081675845,Fancy Hat
113.10971745700712,Fancy Hat
134.0805365222585,Fancy Hat
94.88457026407787,Fancy Hat
86.94261762531846,Fancy Hat
97.41314901582591,Fancy Hat
95.72287967817586,Fancy Hat
107.12176267713564,Fancy Hat
95.80731157626549,Fancy Hat
114.97157989188062,Fancy Hat
87.93323196416925,Fancy Hat
104.57476349604757,Fancy Hat
85.6601066471184,Fancy Hat
111.67201940436783,Fancy Hat
79.06561515709714,Fancy Hat
98.37244515691128,Fancy Hat
109.74198883183898,Fancy Hat
88.34420076055942,Fancy Hat
105.84996789050868,Fancy Hat
113.97180035950265,Fancy Hat
95.6110133386856,Fancy Hat
97.35972631739007,No Fancy Hat
96.30994135349158,No Fancy Hat
104.85240871589647,No Fancy Hat
128.30502262650154,No Fancy Hat
82.23664906320411,No Fancy Hat
109.0197815884278,No Fancy Hat
106.08874615927321,No Fancy Hat
78.28590804574453,No Fancy Hat
94.24941916913188,No Fancy Hat
102.71306894655241,No Fancy Hat
104.09820040517408,No Fancy Hat
112.91630899685785,No Fancy Hat
110.83652647636649,No Fancy Hat
100.9569337527878,No Fancy Hat
110.5148755631752,No Fancy Hat
110.70185228611608,No Fancy Hat
127.31157881911564,No Fancy Hat
65.76109997649442,No Fancy Hat
112.56680404565031,No Fancy Hat
115.175923599388,No Fancy Hat
90.11899060851904,No Fancy Hat
101.75480154161257,No Fancy Hat
91.55890082945443,No Fancy Hat
95.26220566779553,No Fancy Hat
96.45034300422978,No Fancy Hat
88.4924269518224,No Fancy Hat
78.93419319195084,No Fancy Hat
92.24074409145136,No Fancy Hat
105.75133703544775,No Fancy Hat
95.3304718428319,No Fancy Hat
98.06387057994915,No Fancy Hat
78.8891067371963,No Fancy Hat
94.96834492513045,No Fancy Hat
115.4669881961174,No Fancy Hat
97.64930887214194,No Fancy Hat
111.45735124851183,No Fancy Hat
95.34913317602616,No Fancy Hat
114.70563616337411,No Fancy Hat
89.87166710525068,No Fancy Hat
83.54902502178102,No Fancy Hat
103.64672599372948,No Fancy Hat
83.22989304929781,No Fancy Hat
111.46339103410256,No Fancy Hat
99.93893800228052,No Fancy Hat
113.50554470846153,No Fancy Hat
92.86566089558464,No Fancy Hat
104.78421884803521,No Fancy Hat
87.57893086959552,No Fancy Hat
94.41479613420678,No Fancy Hat
82.89051560614608,No Fancy Hat
